timestamp,accepted,score_metric,score,previous_best_score,run_id,prompt_sha1,num_cases,num_queries,top1_hits,top5_hits,top10_hits,recall@1,recall@5,recall@10,candidate_size,text_score_weight,text_rerank_topk,checkpoint,descriptions_path,query_records_path,prompt
2026-06-06 20:14:09,True,recall@1,0.495,,20260606_195959_a61c45559d,a61c45559d31d2381106d6034687bc56adbcca7c,50,1600,792,1390,1547,0.495,0.86875,0.966875,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_a61c45559d_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_195959_a61c45559d.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 21:10:56,False,recall@1,0.11,0.495,20260606_210136_a61c45559d,a61c45559d31d2381106d6034687bc56adbcca7c,50,1600,176,632,888,0.11,0.395,0.555,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_a61c45559d_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_210136_a61c45559d.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 21:20:14,False,recall@1,0.105,0.495,20260606_211207_1ecb9c63ad,1ecb9c63adee4456656d8d1c55bb0a56fb079bbc,50,1600,168,616,880,0.105,0.385,0.55,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_1ecb9c63ad_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_211207_1ecb9c63ad.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output one line with exactly 4 comma-separated English noun phrases and nothing else.
Use exactly 3 commas total. Do not write periods, semicolons, conjunction chains, markdown, numbering, headings, or explanatory sentences.

Phrase 1 must be 9-13 words: name the most discriminative overhead-visible anchor, including footprint, roof type, or surrounding landmark relation.
Phrases 2-4 must be 2-6 words each: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 21:29:29,False,recall@1,0.095,0.495,20260606_212123_4467af0bd9,4467af0bd940b49b503637d8b46f159a0478c878,50,1600,152,512,808,0.095,0.32,0.505,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_4467af0bd9_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_212123_4467af0bd9.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead. Prioritize the target anchor and its nearest permanent neighbors.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor plus one nearby landmark relation.
Phrases 2-4 must be short supporting cues: use object-to-object layout evidence such as beside a sports field, enclosed by courtyards, along a curved road, next to water, within tree belts, near parking rows, or between distinctive roof blocks.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 21:39:11,False,recall@1,0.125,0.495,20260606_213039_f09f76732a,f09f76732ab025f12acb4f2f2d6580500364c679,50,1600,200,648,912,0.125,0.405,0.57,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_f09f76732a_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_213039_f09f76732a.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Use this phrase order: main anchor, footprint or roof cue, nearest permanent neighbor, boundary or access pattern.
Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 21:48:16,False,recall@1,0.14,0.495,20260606_214004_30c6f46d63,30c6f46d634fd2ce1fae87cc30ed31fb06cf7daa,50,1600,224,576,864,0.14,0.36,0.54,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_30c6f46d63_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_214004_30c6f46d63.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.
Follow this format with real details: distinctive overhead anchor near landmark, roof or footprint cue, adjacent permanent neighbor, boundary or access pattern.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 21:57:49,False,recall@1,0.1,0.495,20260606_214914_af6f9f71dd,af6f9f71dd1c2956afb8e6748cca6abce3c9180e,50,1600,160,688,960,0.1,0.43,0.6,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_af6f9f71dd_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_214914_af6f9f71dd.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues ordered by evidence strength: unique structure or roof first, then nearby field/water/road geometry, then boundary context such as tree belt, courtyard, or parking pattern.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 22:07:43,False,recall@1,0.085,0.495,20260606_215907_bf06e9032f,bf06e9032f8b8d633d5665749658c4cc3e615b6f,50,1600,136,560,784,0.085,0.35,0.49,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_bf06e9032f_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_215907_bf06e9032f.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues using overhead map nouns: roof, footprint, courtyard, sports field, track, court, water edge, parking rows, road curve, intersection, tree belt, plaza, or open lawn.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 22:16:53,False,recall@1,0.09,0.495,20260606_220859_d2f7bbb2bd,d2f7bbb2bd86c3149c2108d4249be43f4ed3bc20,50,1600,144,568,848,0.09,0.355,0.53,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_d2f7bbb2bd_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_220859_d2f7bbb2bd.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 7-10 words: name the most discriminative overhead-visible anchor and one landmark relation.
Phrases 2-4 must be 2-5 word map tags: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 22:26:36,False,recall@1,0.14,0.495,20260606_221737_c96fc80762,c96fc8076212f7bdb83822bc3c52f0a0bc0aa62f,50,1600,224,672,912,0.14,0.42,0.57,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_c96fc80762_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_221737_c96fc80762.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Phrases 2-4 must be short supporting cues: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid compass directions, facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
2026-06-06 22:35:51,False,recall@1,0.12,0.495,20260606_222746_6d4a7b1b7a,6d4a7b1b7ab6839f2adb3998bde313628d94d035,50,1600,192,632,888,0.12,0.395,0.555,50,0.3,50,/media/data1/feihong/ckpt/model_test_geo_input_ids/last.pth,auto_prompt/generated_descriptions/auto_research_loop/prompt_6d4a7b1b7a_cases50.json,/media/data1/feihong/univerisity_dev/auto_prompt/query_records/20260606_222746_6d4a7b1b7a.jsonl,"You are writing a compact retrieval key for matching drone-view images to a satellite map.

The four input images show the same target area at one flight height from north, east, south, and west views. First compare the four views, then keep only evidence that should remain visible from overhead.

Output exactly 4 comma-separated English noun phrases and nothing else.

Phrase 1 must be 10-14 words: name the most discriminative overhead-visible anchor, including its footprint, roof, or surrounding landmark relation.
Start phrase 1 with a concrete semantic anchor, not a size word: solar roof, dome, track, court, water edge, courtyard, bridge, tower, L-shaped building, or roof cluster.
Phrases 2-4 must be short supporting cues: use stable layout evidence such as building shape, roof color/texture, courtyard/open space, sports field, water edge, parking pattern, road geometry, tree belt, or relative position.

Prefer rare, local, map-verifiable details over generic campus words. Avoid facade, camera angle, lighting, sky, people, vehicles as temporary objects, uncertainty words, markdown, numbering, headings, and full sentences."
